 # time              Etot              Ltot
   0.27300000E+002  -0.14219108E+007   0.29827670E+009
   0.27400000E+002  -0.14230768E+007   0.29827670E+009
   0.27500000E+002  -0.14243892E+007   0.29827669E+009
   0.27600000E+002  -0.14258754E+007   0.29827669E+009
   0.27700000E+002  -0.14275708E+007   0.29827669E+009
   0.27800000E+002  -0.14295210E+007   0.29827669E+009
   0.27900000E+002  -0.14317861E+007   0.29827669E+009
   0.28000000E+002  -0.14344475E+007   0.29827668E+009
   0.28100000E+002  -0.14376170E+007   0.29827668E+009
   0.28200000E+002  -0.14414538E+007   0.29827668E+009
   0.28300000E+002  -0.14461916E+007   0.29827668E+009
   0.28400000E+002  -0.14521887E+007   0.29827668E+009
   0.28500000E+002  -0.14600231E+007   0.29827667E+009
   0.28600000E+002  -0.14706922E+007   0.29827667E+009
   0.28700000E+002  -0.14860769E+007   0.29827667E+009
   0.28800000E+002  -0.15101983E+007   0.29827667E+009
   0.28900000E+002  -0.15534724E+007   0.29827666E+009
   0.29000000E+002  -0.16538134E+007   0.29827666E+009
   0.29100000E+002  -0.21435197E+007   0.29827666E+009
   0.29200000E+002  -0.21899904E+007   0.29827666E+009
   0.29300000E+002  -0.16591501E+007   0.29827666E+009
   0.29400000E+002  -0.15556346E+007   0.29827665E+009
   0.29500000E+002  -0.15115754E+007   0.29827665E+009
   0.29600000E+002  -0.14872038E+007   0.29827665E+009
   0.29700000E+002  -0.14717540E+007   0.29827665E+009
   0.29800000E+002  -0.14611006E+007   0.29827665E+009
   0.29900000E+002  -0.14533230E+007   0.29827664E+009
   0.30000000E+002  -0.14474061E+007   0.29827664E+009
   0.30100000E+002  -0.14427629E+007   0.29827664E+009
   0.30200000E+002  -0.14390304E+007   0.29827664E+009
   0.30300000E+002  -0.14359719E+007   0.29827663E+009
   0.30400000E+002  -0.14334267E+007   0.29827663E+009
   0.30500000E+002  -0.14312817E+007   0.29827663E+009
   0.30600000E+002  -0.14294552E+007   0.29827663E+009
   0.30700000E+002  -0.14278865E+007   0.29827663E+009
   0.30800000E+002  -0.14265296E+007   0.29827662E+009
   0.30900000E+002  -0.14253492E+007   0.29827662E+009
   0.31000000E+002  -0.14243175E+007   0.29827662E+009
   0.31100000E+002  -0.14234126E+007   0.29827662E+009
   0.31200000E+002  -0.14226167E+007   0.29827662E+009
   0.31300000E+002  -0.14219154E+007   0.29827661E+009
   0.31400000E+002  -0.14212970E+007   0.29827661E+009
   0.31500000E+002  -0.14207516E+007   0.29827661E+009
   0.31600000E+002  -0.14202711E+007   0.29827661E+009
   0.31700000E+002  -0.14198487E+007   0.29827661E+009
   0.31800000E+002  -0.14194784E+007   0.29827660E+009
